class,Alcohol,Alcalinity of ash,Total phenols,Flavanoids,Color intensity,Hue,OD280/OD315 of diluted wines,Proline 
1,14.23,15.6,2.8,3.06,5.64,1.04,3.92,1065
1,13.2,11.2,2.65,2.76,4.38,1.05,3.4,1050
1,13.16,18.6,2.8,3.24,5.68,1.03,3.17,1185
1,14.37,16.8,3.85,3.49,7.8,0.86,3.45,1480
1,13.24,21,2.8,2.69,4.32,1.04,2.93,735
1,14.2,15.2,3.27,3.39,6.75,1.05,2.85,1450
1,14.39,14.6,2.5,2.52,5.25,1.02,3.58,1290
1,14.06,17.6,2.6,2.51,5.05,1.06,3.58,1295
1,14.83,14,2.8,2.98,5.2,1.08,2.85,1045
1,13.86,16,2.98,3.15,7.22,1.01,3.55,1045
1,14.1,18,2.95,3.32,5.75,1.25,3.17,1510
1,14.12,16.8,2.2,2.43,5,1.17,2.82,1280
1,13.75,16,2.6,2.76,5.6,1.15,2.9,1320
1,14.75,11.4,3.1,3.69,5.4,1.25,2.73,1150
1,14.38,12,3.3,3.64,7.5,1.2,3,1547
1,13.63,17.2,2.85,2.91,7.3,1.28,2.88,1310
1,14.3,20,2.8,3.14,6.2,1.07,2.65,1280
1,13.83,20,2.95,3.4,6.6,1.13,2.57,1130
1,14.19,16.5,3.3,3.93,8.7,1.23,2.82,1680
1,13.64,15.2,2.7,3.03,5.1,0.96,3.36,845
1,14.06,16,3,3.17,5.65,1.09,3.71,780
1,12.93,18.6,2.41,2.41,4.5,1.03,3.52,770
1,13.71,16.6,2.61,2.88,3.8,1.11,4,1035
1,12.85,17.8,2.48,2.37,3.93,1.09,3.63,1015
1,13.5,20,2.53,2.61,3.52,1.12,3.82,845
1,13.05,25,2.63,2.68,3.58,1.13,3.2,830
1,13.39,16.1,2.85,2.94,4.8,0.92,3.22,1195
1,13.3,17,2.4,2.19,3.95,1.02,2.77,1285
1,13.87,19.4,2.95,2.97,4.5,1.25,3.4,915
1,14.02,16,2.65,2.33,4.7,1.04,3.59,1035
1,13.73,22.5,3,3.25,5.7,1.19,2.71,1285
1,13.58,19.1,2.86,3.19,6.9,1.09,2.88,1515
1,13.68,17.2,2.42,2.69,3.84,1.23,2.87,990
1,13.76,19.5,2.95,2.74,5.4,1.25,3,1235
1,13.51,19,2.35,2.53,4.2,1.1,2.87,1095
1,13.48,20.5,2.7,2.98,5.1,1.04,3.47,920
1,13.28,15.5,2.6,2.68,4.6,1.09,2.78,880
1,13.05,18,2.45,2.43,4.25,1.12,2.51,1105
1,13.07,15.5,2.4,2.64,3.7,1.18,2.69,1020
1,14.22,13.2,3,3.04,5.1,0.89,3.53,760
1,13.56,16.2,3.15,3.29,6.13,0.95,3.38,795
1,13.41,18.8,2.45,2.68,4.28,0.91,3,1035
1,13.88,15,3.25,3.56,5.43,0.88,3.56,1095
1,13.24,17.5,2.64,2.63,4.36,0.82,3,680
1,13.05,17,3,3,5.04,0.88,3.35,885
1,14.21,18.9,2.85,2.65,5.24,0.87,3.33,1080
1,14.38,16,3.25,3.17,4.9,1.04,3.44,1065
1,13.9,16,3.1,3.39,6.1,0.91,3.33,985
1,14.1,18.8,2.75,2.92,6.2,1.07,2.75,1060
1,13.94,17.4,2.88,3.54,8.9,1.12,3.1,1260
1,13.05,12.4,2.72,3.27,7.2,1.12,2.91,1150
1,13.83,17.2,2.45,2.99,5.6,1.24,3.37,1265
1,13.82,14,3.88,3.74,7.05,1.01,3.26,1190
1,13.77,17.1,3,2.79,6.3,1.13,2.93,1375
1,13.74,16.4,2.6,2.9,5.85,0.92,3.2,1060
1,13.56,20.5,2.96,2.78,6.25,0.98,3.03,1120
1,14.22,16.3,3.2,3,6.38,0.94,3.31,970
1,13.29,16.8,3,3.23,6,1.07,2.84,1270
1,13.72,16.7,3.4,3.67,6.8,0.89,2.87,1285
2,12.37,10.6,1.98,0.57,1.95,1.05,1.82,520
2,12.33,16,2.05,1.09,3.27,1.25,1.67,680
2,12.64,16.8,2.02,1.41,5.75,0.98,1.59,450
2,13.67,18,2.1,1.79,3.8,1.23,2.46,630
2,12.37,19,3.5,3.1,4.45,1.22,2.87,420
2,12.17,19,1.89,1.75,2.95,1.45,2.23,355
2,12.37,18.1,2.42,2.65,4.6,1.19,2.3,678
2,13.11,15,2.98,3.18,5.3,1.12,3.18,502
2,12.37,19.6,2.11,2,4.68,1.12,3.48,510
2,13.34,17,2.53,1.3,3.17,1.02,1.93,750
2,12.21,16.8,1.85,1.28,2.85,1.28,3.07,718
2,12.29,20.4,1.1,1.02,3.05,0.906,1.82,870
2,13.86,25,2.95,2.86,3.38,1.36,3.16,410
2,13.49,24,1.88,1.84,3.74,0.98,2.78,472
2,12.99,30,3.3,2.89,3.35,1.31,3.5,985
2,11.96,21,3.38,2.14,3.21,0.99,3.13,886
2,11.66,16,1.61,1.57,3.8,1.23,2.14,428
2,13.03,16,1.95,2.03,4.6,1.19,2.48,392
2,11.84,18,1.72,1.32,2.65,0.96,2.52,500
2,12.33,14.8,1.9,1.85,3.4,1.06,2.31,750
2,12.7,23,2.83,2.55,2.57,1.19,3.13,463
2,12,19,2.42,2.26,2.5,1.38,3.12,278
2,12.72,18.8,2.2,2.53,3.9,1.16,3.14,714
2,12.08,24,2,1.58,2.2,1.31,2.72,630
2,13.05,22.5,1.65,1.59,4.8,0.84,2.01,515
2,11.84,18,2.2,2.21,3.05,0.79,3.08,520
2,12.67,18,2.2,1.94,2.62,1.23,3.16,450
2,12.16,22.8,1.78,1.69,2.45,1.33,2.26,495
2,11.65,26,1.92,1.61,2.6,1.36,3.21,562
2,11.64,21.6,1.95,1.69,2.8,1,2.75,680
2,12.08,23.6,2.2,1.59,1.74,1.07,3.21,625
2,12.08,18.5,1.6,1.5,2.4,1.08,2.27,480
2,12,22,1.45,1.25,3.6,1.05,2.65,450
2,12.69,20.7,1.38,1.46,3.05,0.96,2.06,495
2,12.29,18,2.45,2.25,2.15,1.15,3.3,290
2,11.62,18,3.02,2.26,3.25,1.16,2.96,345
2,12.47,19,2.5,2.27,2.6,1.16,2.63,937
2,11.81,21.5,1.6,0.99,2.5,0.95,2.26,625
2,12.29,16,2.55,2.5,2.9,1.23,2.74,428
2,12.37,18.5,3.52,3.75,4.5,1.04,2.77,660
2,12.29,18,2.85,2.99,2.3,1.42,2.83,406
2,12.08,17.5,2.23,2.17,3.3,1.27,2.96,710
2,12.6,18.5,1.45,1.36,2.45,1.04,2.77,562
2,12.34,21,2.56,2.11,2.8,0.8,3.38,438
2,11.82,19.5,2.5,1.64,2.06,0.94,2.44,415
2,12.51,20.5,2.2,1.92,2.94,1.04,3.57,672
2,12.42,22,1.68,1.84,2.7,0.86,3.3,315
2,12.25,19,1.65,2.03,3.4,1,3.17,510
2,12.72,22.5,1.38,1.76,3.3,0.88,2.42,488
2,12.22,19,2.36,2.04,2.7,0.86,3.02,312
2,11.61,20,2.74,2.92,2.65,0.96,3.26,680
2,11.46,19.5,3.18,2.58,2.9,0.75,2.81,562
2,12.52,21,2.55,2.27,2,0.9,2.78,325
2,11.76,20,1.75,2.03,3.8,1.23,2.5,607
2,11.41,21,2.48,2.01,3.08,1.1,2.31,434
2,12.08,22.5,2.56,2.29,2.9,0.93,3.19,385
2,11.03,21.5,2.46,2.17,1.9,1.71,2.87,407
2,11.82,20.8,1.98,1.6,1.95,0.95,3.33,495
2,12.42,22.5,2,2.09,2.06,1.06,2.96,345
2,12.77,16,1.63,1.25,3.4,0.7,2.12,372
2,12,19,2,1.64,1.28,0.93,3.05,564
2,11.45,20,2.9,2.79,3.25,0.8,3.39,625
2,11.56,28.5,3.18,5.08,6,0.93,3.69,465
2,12.42,26.5,2.2,2.13,2.08,0.92,3.12,365
2,13.05,21.5,2.62,2.65,2.6,0.73,3.1,380
2,11.87,21,2.86,3.03,2.8,0.75,3.64,380
2,12.07,21,2.6,2.65,2.76,0.86,3.28,378
2,12.43,21.5,2.74,3.15,3.94,0.69,2.84,352
2,11.79,28.5,2.13,2.24,3,0.97,2.44,466
2,12.37,24.5,2.22,2.45,2.12,0.89,2.78,342
2,12.04,22,2.1,1.75,2.6,0.79,2.57,580
3,12.86,18,1.51,1.25,4.1,0.76,1.29,630
3,12.88,20,1.3,1.22,5.4,0.74,1.42,530
3,12.81,24,1.15,1.09,5.7,0.66,1.36,560
3,12.7,21.5,1.7,1.2,5,0.78,1.29,600
3,12.51,17.5,2,0.58,5.45,0.75,1.51,650
3,12.6,18.5,1.62,0.66,7.1,0.73,1.58,695
3,12.25,21,1.38,0.47,3.85,0.75,1.27,720
3,12.53,25,1.79,0.6,5,0.82,1.69,515
3,13.49,19.5,1.62,0.48,5.7,0.81,1.82,580
3,12.84,24,2.32,0.6,4.92,0.89,2.15,590
3,12.93,21,1.54,0.5,4.6,0.77,2.31,600
3,13.36,20,1.4,0.5,5.6,0.7,2.47,780
3,13.52,23.5,1.55,0.52,4.35,0.89,2.06,520
3,13.62,20,2,0.8,4.4,0.91,2.05,550
3,12.25,18.5,1.38,0.78,8.21,0.65,2,855
3,13.16,21,1.5,0.55,4,0.6,1.68,830
3,13.88,20,0.98,0.34,4.9,0.58,1.33,415
3,12.87,21.5,1.7,0.65,7.65,0.54,1.86,625
3,13.32,21.5,1.93,0.76,8.42,0.55,1.62,650
3,13.08,21.5,1.41,1.39,9.4,0.57,1.33,550
3,13.5,24,1.4,1.57,8.6,0.59,1.3,500
3,12.79,22,1.48,1.36,10.8,0.48,1.47,480
3,13.11,25.5,2.2,1.28,7.1,0.61,1.33,425
3,13.23,18.5,1.8,0.83,10.52,0.56,1.51,675
3,12.58,20,1.48,0.58,7.6,0.58,1.55,640
3,13.17,22,1.74,0.63,7.9,0.6,1.48,725
3,13.84,19.5,1.8,0.83,9.01,0.57,1.64,480
3,12.45,27,1.9,0.58,7.5,0.67,1.73,880
3,14.34,25,2.8,1.31,13,0.57,1.96,660
3,13.48,22.5,2.6,1.1,11.75,0.57,1.78,620
3,12.36,21,2.3,0.92,7.65,0.56,1.58,520
3,13.69,20,1.83,0.56,5.88,0.96,1.82,680
3,12.85,22,1.65,0.6,5.58,0.87,2.11,570
3,12.96,18.5,1.39,0.7,5.28,0.68,1.75,675
3,13.78,22,1.35,0.68,9.58,0.7,1.68,615
3,13.73,22.5,1.28,0.47,6.62,0.78,1.75,520
3,13.45,23,1.7,0.92,10.68,0.85,1.56,695
3,12.82,19.5,1.48,0.66,10.26,0.72,1.75,685
3,13.58,24.5,1.55,0.84,8.66,0.74,1.8,750
3,13.4,25,1.98,0.96,8.5,0.67,1.92,630
3,12.2,19,1.25,0.49,5.5,0.66,1.83,510
3,12.77,19.5,1.39,0.51,9.899999,0.57,1.63,470
3,14.16,20,1.68,0.7,9.7,0.62,1.71,660
3,13.71,20.5,1.68,0.61,7.7,0.64,1.74,740
3,13.4,23,1.8,0.75,7.3,0.7,1.56,750
3,13.27,20,1.59,0.69,10.2,0.59,1.56,835
3,13.17,20,1.65,0.68,9.3,0.6,1.62,840
3,14.13,24.5,2.05,0.76,9.2,0.61,1.6,560
